"iso_o","Origin","iso_d","Destination","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"TGO","Togo","BWA","Botswana",0,0,0,0,0,0,0,0,4350.403,4350.403,4358.004,4348.595
"TUN","Tunisia","BWA","Botswana",0,0,0,0,0,0,0,0,7049.213,7049.213,6810.776,6803.791
"UGA","Uganda","BWA","Botswana",0,1,1,0,1,0,0,0,2882.737,2882.737,2767.248,2750.94
"ZMB","Zambia","BWA","Botswana",1,1,1,0,1,0,0,0,1061.931,1061.931,1064.127,990.7562
"ZWE","ZImbabwe","BWA","Botswana",1,1,1,0,1,0,0,0,935.6708,935.6708,706.1302,589.5609
"DZA","Algeria","BFA","Burkina Faso",0,1,1,0,1,0,0,0,2766.421,2766.421,2722.586,2711.146
"AGO","Angola","BFA","Burkina Faso",0,0,0,0,0,0,0,0,2876.135,2876.135,3026.398,3008.166
"BEN","Benin","BFA","Burkina Faso",1,1,1,0,1,0,0,1,804.3413,812.4222,724.091,683.7178
"BWA","Botswana","BFA","Burkina Faso",0,0,0,0,0,0,0,0,5099.678,5099.678,5019.93,5014.65
"BFA","Burkina Faso","BFA","Burkina Faso",0,0,0,0,0,0,0,0,196.9552,196.9552,179.0525,74.67637
"BDI","Burundi","BFA","Burkina Faso",0,1,1,0,0,0,0,0,3846.391,3846.391,3919.762,3916.356
"CMR","Cameroon","BFA","Burkina Faso",0,1,1,0,1,0,0,0,1731.331,1731.331,1690.41,1675.435
"CPV","Cape Verde","BFA","Burkina Faso",0,0,0,0,0,0,0,0,2378.053,2378.053,2397.638,2387.771
"CAF","Central African Republic","BFA","Burkina Faso",0,1,1,0,1,0,0,0,2400.409,2400.409,2414.068,2394.847
"TCD","Chad","BFA","Burkina Faso",0,1,0,0,1,0,0,0,1810.743,1810.743,2017.596,1991.842
"COM","Comoros","BFA","Burkina Faso",0,1,1,0,1,0,0,0,5636.859,5636.859,5734.288,5731.521
"COG","Congo Republic","BFA","Burkina Faso",0,1,1,0,1,0,0,0,2625.844,2625.844,2566.302,2558.97
"CIV","Cote d'ivoire","BFA","Burkina Faso",1,1,1,0,1,0,0,1,822.5521,730.5238,754.1521,715.4865
"DJI","Djibouti","BFA","Burkina Faso",0,1,1,0,1,0,0,0,4874.626,4874.626,4930.591,4926.529
"EGY","Egypt","BFA","Burkina Faso",0,0,0,0,0,0,0,0,3921.325,3921.325,3969.275,3963.461
"GNQ","Equatorial Guinea","BFA","Burkina Faso",0,1,0,0,0,0,0,0,1496.806,1496.806,1664.6,1650.104
"ERI","Eritrea","BFA","Burkina Faso",0,0,0,0,0,0,0,0,4388.915,4388.915,4500.666,4492.058
"ETH","Ethiopia","BFA","Burkina Faso",0,0,0,0,0,0,0,0,4440.414,4440.414,4500.153,4493.15
"GAB","Gabon","BFA","Burkina Faso",0,1,1,0,1,0,0,0,1807.283,1807.283,1922.594,1908.743
"GMB","Gambia","BFA","Burkina Faso",0,0,0,0,0,0,0,0,1630.168,1630.168,1546.332,1530.26
"GHA","Ghana","BFA","Burkina Faso",1,0,0,0,0,0,0,0,770.8592,770.8592,687.5723,614.2051
"GIN","Guinea","BFA","Burkina Faso",0,1,1,0,1,0,0,1,1566.784,1566.784,1188.214,1133.962
"GNB","Guinea-Bissau","BFA","Burkina Faso",0,0,0,0,0,0,0,0,1522.471,1522.471,1450.574,1435.501
"KEN","Kenya","BFA","Burkina Faso",0,0,0,0,0,0,0,0,4515.809,4515.809,4595.63,4583.466
"LSO","Lesotho","BFA","Burkina Faso",0,0,0,0,0,0,0,0,5593.645,5593.645,5628.059,5627.147
"LBR","Liberia","BFA","Burkina Faso",0,0,0,0,0,0,0,0,1201.556,1201.556,1112.374,1083.27
"LBY","Libya","BFA","Burkina Faso",0,0,0,0,0,0,0,0,2725.018,2725.018,2904.851,2872.585
"MDG","Madagascar","BFA","Burkina Faso",0,1,1,0,1,0,0,0,6414.199,6414.199,6473.416,6469.949
"MWI","Malawi","BFA","Burkina Faso",0,0,0,0,0,0,0,0,4887.234,4887.234,5006.523,5000.729
"MLI","Mali","BFA","Burkina Faso",1,1,0,0,1,0,0,1,687.3596,687.3596,599.2643,519.6455
"MRT","Mauritania","BFA","Burkina Faso",0,0,0,0,1,0,0,1,1665.484,1665.484,1529.765,1472.206
